  1056
    id          xc          yc          zc         gxc         gyc         gzc         vol                 R  mean_overdensity       ellipticity      inv_porosity
     0   -865.4014    617.3943    -33.4007   -866.7059    630.1112    -37.4965   439714.75           47.1731            0.2562          0.367283          0.712145
     1   -915.8012   -197.4022   -111.8004   -910.6516   -159.4520    -84.7736  1175316.62           65.4670            0.2572          0.532895          0.715516
     2   -403.4034    116.1965    926.9951   -391.6033    121.5405    903.6816   571227.44           51.4723            0.3350          0.340167          0.617843
     3  -1027.8008   -578.2005    -53.0006  -1028.5581   -571.9397    -55.0815   724406.50           55.7140            0.2594          0.299209          0.656391
     4   -798.2017   -673.4001     72.9988   -808.7116   -643.8094     53.7651   513779.81           49.6855            0.2626          0.396975          0.652332
     5   -529.4029   -413.0012    -64.2006   -526.6594   -433.1514    -33.1996   747850.94           56.3087            0.2601          0.385454          0.560155
     6    178.9940   -513.8008   1013.7947    142.1648   -527.6518    989.2630   685881.25           54.7083            0.2877          0.512015          0.580332
     7   -941.0011    404.5952    -41.8007   -928.7576    424.1213    -28.2244   663292.94           54.1010            0.2716          0.189875          0.691684
     8   -551.8028   -253.4019    812.1956   -573.7037   -243.2534    821.2841   424216.81           46.6122            0.2764          0.485054          0.607893
     9   -204.6043    222.5960   1176.1941   -209.8747    215.4305   1163.9412   231129.58           38.0705            0.3136          0.360826          0.706173
    10   -325.0038   -597.8004    179.3984   -341.2163   -597.5765    193.6315   957819.06           61.1503            0.2919          0.658279          0.477108
    11  -1089.4004   -228.2020    -22.2007  -1086.0293   -214.1546    -22.9185   772502.69           56.9207            0.2639          0.438206          0.709840
    12   -725.4020   -527.8007    562.9967   -724.9744   -535.2245    555.0103   352566.44           43.8246            0.3191          0.399253          0.498145
    13   -375.4036   -679.0001     36.5990   -373.9019   -650.1541     58.3900   462917.69           47.9886            0.2702          0.476508          0.581462
    14   -521.0029   -228.2020    702.9961   -525.9144   -232.3117    701.7171   307170.31           41.8566            0.2835          0.334935          0.677229
    15   -817.8016   -432.6011    571.3967   -817.8647   -424.8680    585.8686   351446.91           43.7781            0.3263          0.446379          0.572661
    16   -291.4039   -219.8021    285.7979   -287.6139   -236.2646    303.7521   645841.31           53.6223            0.2382          0.482610          0.692731
    17  -1044.6006   -357.0015   -148.2002  -1055.2485   -371.5062   -122.9413   588701.00           51.9919            0.2726          0.487209          0.633726
    18   -750.6019   -340.2015     -5.4008   -743.5811   -340.8355      2.7412   365474.06           44.3530            0.2455          0.454171          0.719350
    19   -641.4024   -399.0013    568.5967   -646.4355   -401.7292    579.2006   693630.19           54.9136            0.2654          0.406413          0.623731
    20   -568.6027   -583.8005    -86.6005   -565.5538   -576.2883    -82.2630   203228.95           36.4725            0.3376          0.563790          0.688272
    21   -504.2030   -144.2024    733.7960   -516.9490   -145.4478    746.7096   698393.69           55.0390            0.2809          0.297803          0.554987
