  1602
    id          xc          yc          zc         gxc         gyc         gzc         vol                 R  mean_overdensity       ellipticity      inv_porosity
     0   -253.4019    -21.0029    -88.2026   -251.3162    -16.2638    -93.7037   607755.06           52.5469            0.2356          0.464922          0.542458
     1     46.1968   -138.6024      1.3970     22.3677   -124.2645      9.6665  1088936.62           63.8221            0.2261          0.209789          0.531856
     2    230.9960     62.9967    -77.0027    227.0931     71.4700    -77.4301   420133.81           46.4622            0.2317          0.420520          0.640455
     3   -147.0024    124.5964    191.7961   -133.6086    117.7721    190.4320  1038623.31           62.8237            0.1826          0.398172          0.622534
     4    398.9952   -550.2006    -91.0026    409.2300   -558.1361    -88.6084   940389.38           60.7771            0.2106          0.508559          0.653736
     5    524.9947    508.1948     -4.2030    532.2264    517.0673     -0.3318   688405.69           54.7754            0.2347          0.440188          0.665334
     6   -550.2006   -340.2015    -12.6030   -551.6688   -343.0127    -19.4806   365386.25           44.3494            0.2093          0.491460          0.565861
     7    -85.4026   -466.2010    -91.0026    -85.4587   -464.5921    -99.3677   379523.16           44.9142            0.2027          0.383812          0.692649
     8     20.9969   -452.2010    -29.4029     28.2614   -443.8120    -24.9828   717447.81           55.5351            0.1906          0.392818          0.555524
     9     20.9969    -40.6028     48.9968     25.5605    -34.2795     66.1040   539221.88           50.4924            0.2045          0.448305          0.614911
    10    387.7953   -211.4021    -35.0029    411.0153   -203.8936    -16.6072   568703.00           51.3964            0.2473          0.442983          0.558388
    11    155.3963     85.3966    -82.6027    131.4024     77.2122    -63.5531   418619.16           46.4063            0.2547          0.578875          0.572603
    12   -250.6019    594.9944    -63.0027   -235.7441    570.9823    -62.3173   485198.69           48.7465            0.2240          0.493040          0.633692
    13   -415.8012    239.3959    -93.8026   -426.3123    253.0927    -87.6823   818184.19           58.0213            0.1939          0.527274          0.613206
    14   -539.0007   -681.8000   -180.6022   -549.4344   -671.7479   -195.2915   217409.75           37.3018            0.2243          0.443988          0.626115
    15     34.9968    533.3947   -169.4023     30.5922    553.2974   -194.4768   760407.31           56.6221            0.2142          0.475766          0.607662
    16   -600.6004    443.7950    -82.6027   -595.7536    437.4843    -75.6676   326948.78           42.7363            0.2281          0.418099          0.557418
    17     18.1969    508.1948    141.3964     12.4419    513.1031    139.6018   345563.84           43.5325            0.1701          0.364466          0.590870
    18    538.9946    569.7945   -172.2023    529.2604    575.3243   -157.9367   314238.75           42.1752            0.2460          0.368801          0.665673
    19   -597.8004   -242.2020   -233.8020   -605.5604   -241.6880   -235.1357   260018.03           39.5948            0.1998          0.422109          0.600665
    20   -642.6002   -211.4021     48.9968   -644.1743   -215.8183     56.9575   238176.08           38.4536            0.1999          0.298422          0.502403
    21    163.7963   -539.0007    -40.6028    143.1329   -546.4304    -43.0526   347737.06           43.6235            0.1906          0.416321          0.408749
    22    -65.8027   -133.0024   -205.8021    -42.4172   -138.4292   -198.7528   559549.12           51.1191            0.2213          0.527506          0.565766
    23    432.5951    597.7944   -236.6020    432.1553    599.3256   -238.1075   324578.00           42.6328            0.3089          0.486532          0.573385
    24    -21.0029   -127.4025     65.7967    -10.5083   -132.0802     64.9738   312724.09           42.1073            0.1750          0.350250          0.575059
    25    -60.2028   -172.2023    -91.0026    -48.7534   -184.1615    -82.7631   307850.81           41.8875            0.2094          0.160491          0.711313
    26   -295.4017    494.1948   -177.8022   -295.4132    488.0391   -172.2702   237100.44           38.3956            0.2196          0.308516          0.662725
    27    -29.4029   -480.2009     20.9969    -14.5887   -481.9641     27.4163   436817.12           47.0692            0.2284          0.290623          0.610567
    28   -623.0003    -15.4030    272.9958   -618.1160     24.8710    282.3482   700676.69           55.0989            0.2149          0.422225          0.591112
    29     71.3967   -589.4005     18.1969     86.0790   -596.3570     11.3222   224456.25           37.7006            0.1992          0.187661          0.559889
    30   -589.4005   -264.6019   -186.2022   -593.7242   -267.7857   -180.8177   298653.03           41.4661            0.2157          0.461771          0.529523
    31   -567.0005   -172.2023    211.3961   -561.4904   -188.4662    204.5031   377020.66           44.8152            0.2549          0.464307          0.614007
    32   -572.6005    -65.8027    219.7960   -573.1696    -86.0286    222.7693  1096356.25           63.9668            0.2108          0.256750          0.548063
    33   -208.6021   -236.6020   -312.2017   -194.7764   -221.0867   -299.6717   410518.97           46.1050            0.2133          0.493360          0.704503
    34   -653.8002   -225.4020   -303.8017   -662.3114   -238.2858   -293.6256   367669.22           44.4416            0.2160          0.404668          0.709698
    35    186.1962    239.3959   -119.0025    200.8656    231.2370   -115.6990   198399.56           36.1813            0.1836          0.452059          0.602123
    36    205.7961   -102.2026    -21.0029    195.4304    -97.1877    -15.1029   303745.84           41.7004            0.2081          0.287631          0.518343
    37   -205.8021   -463.4010   -211.4021   -208.6109   -447.5350   -190.7970   598381.69           52.2753            0.2190          0.243309          0.618468
